channel	channel	The "channel" word.	General
channels	channels	The "channels" word.	General
category	category	The "category" word.	General
categories	categories	The "categories" word.	General
video_category	video category	The singular "video category" term.	General
video_categories	video categories	The plural "video categories" term.	General
video	video	The "video" word.	General
videos	videos	The "videos" word.	General
videos_on_channel	videos on channel	Videos on channel	General

msg_access_denied	We are sorry, but you cannot view this channel.	The message "Access denied".	Messages
msg_channel_not_found	Channel not available.	The message "Channel not available" for not found channels.	Messages
msg_no_videos	No videos.	The message "No videos".	Messages
